video,file,label,original,frame,fold
ljuuovfkgi,260_0.png,0,ljuuovfkgi,260,0
scpglaliyh,110_0.png,1,qyqufaskjs,110,0
dhyybsrvwc,170_0.png,1,onbgbghesu,170,0
biatmogsbv,120_0.png,1,uprwuohbwx,120,0
etdliwticv,20_0.png,1,dpevefkefv,20,0
sylnrepacf,180_0.png,0,sylnrepacf,180,0
oykwlqtcmj,290_0.png,1,vpmyeepbep,290,0
xnkktewjmu,20_0.png,1,lnhkjhyhvw,20,0
zuvktiyzzr,180_0.png,1,psjfwjzrrh,180,0
vtlxnjhdvs,20_0.png,1,jytrvwlewz,20,0
kgfcupxgur,200_0.png,1,ddtbarpcgo,200,0
wdhvvkuwuq,210_0.png,1,exseruhiuk,210,0
sakziaduuh,80_0.png,1,xkfliqnmwt,80,0
yklkjjlpyj,30_0.png,1,fsaronfupy,30,0
hsbrwaeaah,110_0.png,1,fopjiyxiqd,110,0
yotgejovqt,250_0.png,1,uprwuohbwx,250,0
meiyjcknbl,220_0.png,1,jytrvwlewz,220,0
qfgxitlutn,160_0.png,1,fdpisghkmd,160,0
mlruidevki,60_0.png,1,uprwuohbwx,60,0
esjdyghhog,250_0.png,1,fufcmupzen,250,0
titungrbgd,190_0.png,1,srfefmyjvt,190,0
zigzhwlpcd,250_0.png,1,lnjkpdviqb,250,0
xjfvhfyunl,80_0.png,1,jawgcggquk,80,0
jppzzcldui,220_0.png,1,hivnldfvyl,220,0
qjwomijmcb,290_0.png,1,kqlvggiqee,290,0
tufacqdefx,100_0.png,1,ldtgofdaqg,100,0
cqomufbzpp,270_0.png,1,lzbmwwejxb,270,0
kzezrsewki,50_0.png,1,lnjkpdviqb,50,0
rtwlskwxqy,40_0.png,1,chqqxfuuzi,40,0
hyjqolupxn,250_0.png,1,qarqtkvgby,250,0
scxgpnknil,170_0.png,1,yxvmusxvcz,170,0
ybdtkypwez,290_0.png,1,wynotylpnm,290,0
yhqltdyvcy,70_0.png,1,psjfwjzrrh,70,0
kiyuduxzuc,90_0.png,1,ybnucgidtu,90,0
auquqlmsts,30_0.png,1,fopjiyxiqd,30,0
xdqrsjzsul,170_0.png,1,apedduehoy,170,0
crwzrpozbv,210_0.png,1,jawgcggquk,210,0
yljecirelf,190_0.png,0,yljecirelf,190,0
zigzhwlpcd,230_0.png,1,lnjkpdviqb,230,0
cqbhgsmffd,290_0.png,1,xmkwsnuzyq,290,0
doniqevxeg,290_0.png,0,doniqevxeg,290,0
rlffjkxsqq,290_0.png,1,fdpisghkmd,290,0
yjllqhbmke,80_0.png,1,nrnklcxdzq,80,0
jeblbsmlij,170_0.png,1,upmgtackuf,170,0
alidfjtwvg,290_0.png,1,fdpisghkmd,290,0
vauwynfqoz,240_0.png,1,gnmmhlbzge,240,0
hnalkvbcim,280_0.png,1,fzvpbrzssi,280,0
kqsjsvinkd,250_0.png,1,hivnldfvyl,250,0
ovzegelwbu,250_0.png,1,rktrpsdlci,250,0
pjkgenkrgb,30_0.png,1,srfefmyjvt,30,0
goxbkycgkg,0_0.png,1,prdrkaxeob,0,0
bxdhnnffvw,200_0.png,1,xugmhbetrw,200,0
tnougkhbju,190_0.png,1,fopjiyxiqd,190,0
rnfvcslcmf,290_0.png,1,vtunvalyji,290,0
yotgejovqt,110_0.png,1,uprwuohbwx,110,0
ccrrlidqnp,200_0.png,1,xugmhbetrw,200,0
tdsndnisso,290_0.png,1,jytrvwlewz,290,0
ytyptdjoay,60_0.png,1,pqdeutauqc,60,0
ezzfdnllnp,130_0.png,1,aayrffkzxn,130,0
fqmfvshgns,40_0.png,1,gnmmhlbzge,40,0
yihsmubqwx,130_0.png,1,vtunvalyji,130,0
alidfjtwvg,90_0.png,1,fdpisghkmd,90,0
fyrckgsqvg,270_0.png,1,lnhkjhyhvw,270,0
kkxgqvpusd,130_0.png,1,ldtgofdaqg,130,0
dabysiasvf,260_0.png,1,fdpisghkmd,260,0
vqwkmjorkj,70_0.png,1,fopjiyxiqd,70,0
fxuxxtryjn,110_0.png,1,uprwuohbwx,110,0
hthuorhwdn,190_0.png,1,yljecirelf,190,0
jbxjvkdnci,180_0.png,1,wfzjxzhdkj,180,0
sgdiraogcc,70_0.png,1,uprwuohbwx,70,0
dlpaibcwsy,230_0.png,1,fopjiyxiqd,230,0
rvaliysfnr,110_0.png,1,eppyqpgewp,110,0
rpanzyxdwh,110_0.png,1,prdrkaxeob,110,0
gvcrwbnzpa,70_0.png,1,jzupayeuln,70,0
stgusxhcta,30_0.png,1,nweufafotd,30,0
ktvvpqqupl,100_0.png,1,ucthmsajay,100,0
qzchhaoptt,20_0.png,1,wynotylpnm,20,0
cqpdqjzgcs,150_0.png,1,xdezcezszc,150,0
fswszwicfw,150_0.png,1,vtunvalyji,150,0
iurmztyqed,80_0.png,1,xchzardbfa,80,0
lcqguoqxrb,40_0.png,1,qyqufaskjs,40,0
qydhcvvjys,90_0.png,1,ucthmsajay,90,0
cqpdqjzgcs,260_0.png,1,xdezcezszc,260,0
qweikxnvyq,210_0.png,1,fdpisghkmd,210,0
wczbchfnad,90_0.png,1,jzupayeuln,90,0
yzjzczodyz,20_0.png,1,jawgcggquk,20,0
yuuaxskvqi,290_0.png,1,hsbwhlolsn,290,0
yhbpxjcglo,100_0.png,1,wclvkepakb,100,0
fnkkqtouoz,140_0.png,1,nweufafotd,140,0
ykiiuksurb,220_0.png,1,nhsijqpoda,220,0
ckfqqhpbph,60_0.png,1,fnslimfagb,60,0
qydhcvvjys,170_0.png,1,ucthmsajay,170,0
wykqjiughm,90_0.png,1,hsbwhlolsn,90,0
pvevprrtnu,270_0.png,1,vtunvalyji,270,0
ntpmamjdyk,220_0.png,1,sttnfyptum,220,0
knxltsvzyu,210_0.png,0,knxltsvzyu,210,0
rokgoeaybe,100_0.png,1,vtunvalyji,100,0
uhrofvfghh,120_0.png,1,eiwtggvtfp,120,0
awfjdqqygu,110_0.png,1,vpmyeepbep,110,0
kfnrvxndoj,10_0.png,1,fsaronfupy,10,0
gmaghrdamw,250_0.png,1,nrnklcxdzq,250,0
qrogkembje,220_0.png,1,exseruhiuk,220,0
nombfkmhum,100_0.png,1,ucthmsajay,100,0
gnxlbuwucy,100_0.png,1,hicjuubiau,100,0
sjwywglgym,150_0.png,1,uqtqhiqymz,150,0
yeeceldqpx,0_0.png,1,fsaronfupy,0,0
brtujopkby,30_0.png,1,gnmmhlbzge,30,0
toewhlbcgt,290_0.png,1,yxvmusxvcz,290,0
vsxuvpwqmm,140_0.png,1,syxobtuucp,140,0
getmctvhmd,140_0.png,1,apedduehoy,140,0
mpuugiqewv,220_0.png,1,wynotylpnm,220,0
efktbhpilh,160_0.png,1,srfefmyjvt,160,0
maxybxfgts,210_0.png,1,hivnldfvyl,210,0
xtegzrbvaz,170_0.png,1,ldtgofdaqg,170,0
xnztznqlis,90_0.png,1,gnmmhlbzge,90,0
djgbahezbh,180_0.png,1,aayrffkzxn,180,0
miiocrddnj,280_0.png,1,lokzwdldxp,280,0
ansbtntiqu,190_0.png,1,kqlvggiqee,190,0
adftmlvzfs,80_0.png,1,jawgcggquk,80,0
xbdqbydiwc,110_0.png,1,wcqvzujamg,110,0
awigxxbbpb,70_0.png,1,dxfdovivlw,70,0
vzcldbilmd,250_0.png,1,yexeazbqig,250,0
yotgejovqt,100_0.png,1,uprwuohbwx,100,0
uzrbokfzmp,270_0.png,1,nweufafotd,270,0
meehftqexr,0_0.png,1,upmgtackuf,0,0
nswlwuzzda,250_0.png,1,ljuuovfkgi,250,0
fhgnmqzfca,80_0.png,1,yljecirelf,80,0
cbybbxuusl,30_0.png,1,wynotylpnm,30,0
louyyobufp,90_0.png,1,uprwuohbwx,90,0
rpnetwqgqz,150_0.png,1,uqtqhiqymz,150,0
hhddxuhorq,230_0.png,1,gvasarkpfh,230,0
xfmcdyaipa,190_0.png,1,yxvmusxvcz,190,0
uzcpzcdwfv,90_0.png,1,fnslimfagb,90,0
pftrwqispi,250_0.png,1,prdrkaxeob,250,0
wiqnwcizhc,60_0.png,1,lokzwdldxp,60,0
xgohnozhqe,100_0.png,1,wcqvzujamg,100,0
jawgcggquk,190_0.png,0,jawgcggquk,190,0
whdijawumf,20_0.png,1,aayrffkzxn,20,0
odxetivvot,0_0.png,1,lzbmwwejxb,0,0
jvadnjprqn,270_0.png,1,qyqufaskjs,270,0
xvzjzkrmlm,250_0.png,1,wynotylpnm,250,0
btyxvpjgcc,160_0.png,1,nhsijqpoda,160,0
kdycxkmnnw,30_0.png,1,yljecirelf,30,0
khfyqlxazq,90_0.png,1,nweufafotd,90,0
odxetivvot,70_0.png,1,lzbmwwejxb,70,0
iwswulwtjp,40_0.png,1,ddtbarpcgo,40,0
atrteuctxr,40_0.png,1,fopjiyxiqd,40,0
skrpivsmry,40_0.png,1,yxvmusxvcz,40,0
pdouadxxba,280_0.png,1,prmwoaeeng,280,0
wclvkepakb,100_0.png,0,wclvkepakb,100,0
kdiokpezzi,230_0.png,1,jytrvwlewz,230,0
wzrkgntquh,270_0.png,1,vtunvalyji,270,0
xfmcdyaipa,30_0.png,1,yxvmusxvcz,30,0
gnslnjrgnx,140_0.png,1,qarqtkvgby,140,0
tszsvitufh,190_0.png,1,sttnfyptum,190,0
mfgswvvnba,150_0.png,1,fnslimfagb,150,0
snlyjbnpgw,20_0.png,1,wfzjxzhdkj,20,0
tnrmnayszi,120_0.png,1,rnpefxwptv,120,0
hhyxweyjlt,160_0.png,1,heiyoojifp,160,0
txxungvxms,140_0.png,1,lzbmwwejxb,140,0
qusnfjluuh,30_0.png,1,qarqtkvgby,30,0
bqefygjsnx,170_0.png,1,ybbrkacebd,170,0
fdpisghkmd,10_0.png,0,fdpisghkmd,10,0
zzlsynxeff,40_0.png,1,fnslimfagb,40,0
sdorhlibip,140_0.png,1,hicjuubiau,140,0
lzbmwwejxb,230_0.png,0,lzbmwwejxb,230,0
shnsajrsow,210_0.png,1,qyqufaskjs,210,0
isgjlgucub,100_0.png,1,hivnldfvyl,100,0
ansbtntiqu,210_0.png,1,kqlvggiqee,210,0
msfssnmldu,210_0.png,1,pqdeutauqc,210,0
yzuestxcbq,60_0.png,1,uqtqhiqymz,60,0
ahhdprhoww,90_0.png,1,fdpisghkmd,90,0
ogrzmxwtom,90_0.png,1,dpevefkefv,90,0
laojqujlsg,70_0.png,1,aayrffkzxn,70,0
iodwjkqblp,60_1.png,1,jvtjxreizj,60,0
wfbqqomqmm,250_0.png,1,uqtqhiqymz,250,0
ynycdheids,270_0.png,1,xjzkfqddyk,270,0
safmejeucy,60_0.png,1,uprwuohbwx,60,0
vauwynfqoz,270_0.png,1,gnmmhlbzge,270,0
mfodqgnnav,150_0.png,1,knxltsvzyu,150,0
lustdsegqq,120_0.png,1,ldtgofdaqg,120,0
lwtgwggkpb,190_0.png,1,ybbrkacebd,190,0
qwvxbksoeo,130_0.png,1,wynotylpnm,130,0
wkdnagybtb,180_0.png,1,jytrvwlewz,180,0
twxnazwxup,90_0.png,1,fnslimfagb,90,0
rujcwrjwhf,230_0.png,1,fdpisghkmd,230,0
nxbmkntfzt,130_0.png,1,rmufsuogzn,130,0
nombfkmhum,240_0.png,1,ucthmsajay,240,0
tpvukvpape,40_0.png,1,xdezcezszc,40,0
cfyayetydv,120_0.png,1,dxfdovivlw,120,0
ygmobxlwoi,0_0.png,1,nrnklcxdzq,0,0
rxjcinqyqd,240_0.png,1,vpmyeepbep,240,0
ktwfxtzjbn,70_0.png,1,uqtqhiqymz,70,0
exseruhiuk,210_0.png,0,exseruhiuk,210,0
xdbnawbnvf,170_0.png,1,chqqxfuuzi,170,0
zxprilbsxp,230_0.png,1,fsaronfupy,230,0
dzpokpqpxr,110_0.png,1,kqlvggiqee,110,0
iftluclqfd,150_0.png,1,gvasarkpfh,150,0
tkvhbpjuvd,120_0.png,1,vpmyeepbep,120,0
dahvuijxob,210_0.png,1,ddtbarpcgo,210,0
eiwtggvtfp,260_0.png,0,eiwtggvtfp,260,0
scssmbfchs,180_0.png,1,fdpisghkmd,180,0
eyyigsrqff,270_0.png,1,psjfwjzrrh,270,0
toinozytsp,40_0.png,1,wynotylpnm,40,0
srnseorykn,270_0.png,1,fsaronfupy,270,0
ybefzibreb,200_0.png,1,fdpisghkmd,200,0
vqwkmjorkj,40_0.png,1,fopjiyxiqd,40,0
zbmsvslybw,210_0.png,1,khtwrijuqn,210,0
grqyyhfexr,150_0.png,1,wynotylpnm,150,0
axzjovaktp,180_0.png,1,lokzwdldxp,180,0
zigzhwlpcd,240_0.png,1,lnjkpdviqb,240,0
fzkzqwoghs,220_0.png,1,qyqufaskjs,220,0
ouxixrpsnd,50_0.png,1,upmgtackuf,50,0
padqtwbzzo,220_0.png,1,vtunvalyji,220,0
mrhajrsgxh,90_0.png,1,prdrkaxeob,90,0
kcidxranvr,100_0.png,1,dpevefkefv,100,0
zpbggelffo,160_0.png,1,eppyqpgewp,160,0
cbzxykepbl,250_0.png,1,fnslimfagb,250,0
dsvopuhqiz,70_0.png,1,gnmmhlbzge,70,0
ssitlrruir,290_0.png,1,chqqxfuuzi,290,0
ulkrhrktaz,130_0.png,1,dpevefkefv,130,0
wkczijuamz,40_0.png,1,jytrvwlewz,40,0
zbpwazdhtz,240_0.png,1,fzvpbrzssi,240,0
ncoeewrdlo,180_0.png,1,uprwuohbwx,180,0
fckxaqjbxk,20_0.png,1,vpmyeepbep,20,0
yrivmbpotx,60_0.png,1,psjfwjzrrh,60,0
cvycgtwfsi,220_0.png,1,gnmmhlbzge,220,0
cemftmsxis,210_0.png,1,jawgcggquk,210,0
pftrwqispi,140_0.png,1,prdrkaxeob,140,0
tptalpxwlv,130_0.png,1,wynotylpnm,130,0
jxvoarslil,10_0.png,1,wynotylpnm,10,0
fqmfvshgns,100_0.png,1,gnmmhlbzge,100,0
dkojxwpvza,240_0.png,1,fopjiyxiqd,240,0
gfknvvudwk,70_0.png,1,dpevefkefv,70,0
opvqdabdap,140_0.png,1,yljecirelf,140,0
ndonldsrsr,20_0.png,1,vpmyeepbep,20,0
oamtblkzpt,230_0.png,1,dpevefkefv,230,0
auquqlmsts,280_0.png,1,fopjiyxiqd,280,0
roqbnlondz,50_0.png,1,fzvpbrzssi,50,0
kkemhrscxz,70_0.png,1,rnpefxwptv,70,0
echdilwfig,120_0.png,1,rktrpsdlci,120,0
dlrcprykef,200_0.png,1,psjfwjzrrh,200,0
zcnslhnnhl,250_0.png,1,fsaronfupy,250,0
tafsqvrhuv,40_0.png,1,knxltsvzyu,40,0
szulggywzw,50_0.png,1,exseruhiuk,50,0
augowetyej,240_0.png,1,apvzjkvnwn,240,0
xexmngtcha,30_0.png,1,wclvkepakb,30,0
btyxvpjgcc,120_0.png,1,nhsijqpoda,120,0
cjndhcclqi,80_0.png,1,uqtqhiqymz,80,0
dfcoyuhhex,260_0.png,1,qyqufaskjs,260,0
dxrqdhegop,230_0.png,1,ddtbarpcgo,230,0
xlmduthjih,230_0.png,1,doniqevxeg,230,0
zpilavstvx,250_0.png,1,hivnldfvyl,250,0
atrteuctxr,140_0.png,1,fopjiyxiqd,140,0
mnnxgycfik,150_0.png,1,hicjuubiau,150,0
qwvxbksoeo,30_0.png,1,wynotylpnm,30,0
shnsajrsow,30_0.png,1,qyqufaskjs,30,0
yimqkeekjm,100_0.png,1,fopjiyxiqd,100,0
xhcxlgyjdj,0_0.png,1,hicjuubiau,0,0
qkzabeimvu,240_0.png,1,fzvpbrzssi,240,0
yexeazbqig,280_0.png,0,yexeazbqig,280,0
mpuugiqewv,90_0.png,1,wynotylpnm,90,0
owxbbpjpch,280_0.png,1,wynotylpnm,280,0
ivdlxktqvk,240_0.png,1,vtunvalyji,240,0
dhjnjkzuhq,130_0.png,0,dhjnjkzuhq,130,0
kajzbtxqdk,130_0.png,1,srfefmyjvt,130,0
voudmumlov,140_0.png,1,fnslimfagb,140,0
ryccazlbju,240_0.png,1,heiyoojifp,240,0
dtmlspmqqp,160_0.png,1,aayrffkzxn,160,0
gcdtglsoqj,70_1.png,0,gcdtglsoqj,70,0
ptpusmxreb,100_0.png,1,uqtqhiqymz,100,0
uoantcwpwm,90_0.png,1,knxltsvzyu,90,0
myoydssaii,80_0.png,1,xkfliqnmwt,80,0
nweufafotd,210_0.png,0,nweufafotd,210,0
jvtjxreizj,240_0.png,0,jvtjxreizj,240,0
rthtvpztdu,90_0.png,1,jawgcggquk,90,0
opsjddoxui,290_0.png,1,qarqtkvgby,290,0
pbwkrxzgkd,100_0.png,1,xkfliqnmwt,100,0
hhddxuhorq,70_0.png,1,gvasarkpfh,70,0
snjzgkxvym,120_0.png,1,rmufsuogzn,120,0
wlyfcpecea,160_0.png,1,qyqufaskjs,160,0
lrjxcwrzls,70_0.png,1,prmwoaeeng,70,0
jeblbsmlij,0_0.png,1,upmgtackuf,0,0
acagallncj,220_0.png,1,fzvpbrzssi,220,0
prhmixykhr,290_0.png,1,vpmyeepbep,290,0
eiwtggvtfp,40_0.png,0,eiwtggvtfp,40,0
wlvmxuomea,240_0.png,1,dhjnjkzuhq,240,0
inzrlbgtul,180_0.png,1,nrnklcxdzq,180,0
yfnvwhnofw,50_0.png,1,xdezcezszc,50,0
pktyfrvywo,160_0.png,1,fzvpbrzssi,160,0
vmdpfyfkwi,20_0.png,1,lnjkpdviqb,20,0
khtwrijuqn,220_1.png,0,khtwrijuqn,220,0
axfhbpkdlc,230_0.png,1,lzbmwwejxb,230,0
dhyybsrvwc,60_0.png,1,onbgbghesu,60,0
tdsndnisso,70_0.png,1,jytrvwlewz,70,0
iyhkhsdhma,190_0.png,1,fnslimfagb,190,0
ijgcwhjkua,180_0.png,1,yxvmusxvcz,180,0
gnxlbuwucy,200_0.png,1,hicjuubiau,200,0
ludeqgyyct,140_0.png,1,vtunvalyji,140,0
xbokoalmlv,120_0.png,1,uprwuohbwx,120,0
atrteuctxr,250_0.png,1,fopjiyxiqd,250,0
rvaliysfnr,100_0.png,1,eppyqpgewp,100,0
lbfqksftuo,60_0.png,1,exseruhiuk,60,0
gpzwvdkuie,80_0.png,1,kqlvggiqee,80,0
exxqlfpnbz,0_0.png,0,exxqlfpnbz,0,0
sfjtewgmuy,220_0.png,1,nweufafotd,220,0
meiyjcknbl,70_0.png,1,jytrvwlewz,70,0
crwzrpozbv,90_0.png,1,jawgcggquk,90,0
urgdtdchei,20_0.png,1,lnjkpdviqb,20,0
tnrmnayszi,260_0.png,1,rnpefxwptv,260,0
wcqvzujamg,0_0.png,0,wcqvzujamg,0,0
huznbaakma,70_0.png,1,rktrpsdlci,70,0
eckloytegm,110_0.png,1,xjzkfqddyk,110,0
nwvloufjty,150_0.png,1,ljuuovfkgi,150,0
yjllqhbmke,100_0.png,1,nrnklcxdzq,100,0
eisofhptvk,240_0.png,1,nweufafotd,240,0
